Split,Horizon,Method,LagSet,y_true,y_pred,Store
3,1,RandomForest,lag14,80.0,79.26,Baltimore
3,2,RandomForest,lag14,128.0,157.15,Baltimore
3,3,RandomForest,lag14,95.0,151.98,Baltimore
3,4,RandomForest,lag14,61.0,71.48,Baltimore
3,5,RandomForest,lag14,73.0,86.62,Baltimore
3,6,RandomForest,lag14,71.0,86.76,Baltimore
3,7,RandomForest,lag14,69.0,94.35,Baltimore
3,1,XGBoost,lag14,80.0,83.6029281616211,Baltimore
3,2,XGBoost,lag14,128.0,100.14508819580078,Baltimore
3,3,XGBoost,lag14,95.0,198.9852752685547,Baltimore
3,4,XGBoost,lag14,61.0,76.35002899169922,Baltimore
3,5,XGBoost,lag14,73.0,55.85530471801758,Baltimore
3,6,XGBoost,lag14,71.0,68.92870330810547,Baltimore
3,7,XGBoost,lag14,69.0,76.73572540283203,Baltimore
4,1,SeasonalNaive7,-,128.0,574.0,Baltimore
4,2,SeasonalNaive7,-,95.0,467.0,Baltimore
4,3,SeasonalNaive7,-,61.0,441.0,Baltimore
4,4,SeasonalNaive7,-,73.0,57.0,Baltimore
4,5,SeasonalNaive7,-,71.0,75.0,Baltimore
4,6,SeasonalNaive7,-,69.0,63.0,Baltimore
4,7,SeasonalNaive7,-,77.0,80.0,Baltimore
4,1,ETS_HoltWinters,-,128.0,186.0605857705857,Baltimore
4,2,ETS_HoltWinters,-,95.0,124.69303364957821,Baltimore
4,3,ETS_HoltWinters,-,61.0,76.47015826574231,Baltimore
4,4,ETS_HoltWinters,-,73.0,34.66123819720946,Baltimore
4,5,ETS_HoltWinters,-,71.0,46.79223723397089,Baltimore
4,6,ETS_HoltWinters,-,69.0,54.07493008302889,Baltimore
4,7,ETS_HoltWinters,-,77.0,91.66436503684868,Baltimore
4,1,ARIMA,-,128.0,98.65889789248865,Baltimore
4,2,ARIMA,-,95.0,108.52593212732765,Baltimore
4,3,ARIMA,-,61.0,113.74373036774128,Baltimore
4,4,ARIMA,-,73.0,116.50296053049217,Baltimore
4,5,ARIMA,-,71.0,117.96207235127251,Baltimore
4,6,ARIMA,-,69.0,118.73366702803493,Baltimore
4,7,ARIMA,-,77.0,119.1416949370198,Baltimore
4,1,RandomForest,lag7,128.0,136.58,Baltimore
4,2,RandomForest,lag7,95.0,111.98,Baltimore
4,3,RandomForest,lag7,61.0,77.1,Baltimore
4,4,RandomForest,lag7,73.0,71.02,Baltimore
4,5,RandomForest,lag7,71.0,85.63,Baltimore
4,6,RandomForest,lag7,69.0,82.49,Baltimore
4,7,RandomForest,lag7,77.0,108.84,Baltimore
4,1,XGBoost,lag7,128.0,133.0345916748047,Baltimore
4,2,XGBoost,lag7,95.0,112.21299743652344,Baltimore
4,3,XGBoost,lag7,61.0,82.21285247802734,Baltimore
4,4,XGBoost,lag7,73.0,48.39348220825195,Baltimore
4,5,XGBoost,lag7,71.0,72.68655395507812,Baltimore
4,6,XGBoost,lag7,69.0,60.965065002441406,Baltimore
4,7,XGBoost,lag7,77.0,103.48859405517578,Baltimore
4,1,RandomForest,lag14,128.0,158.03,Baltimore
4,2,RandomForest,lag14,95.0,153.81,Baltimore
4,3,RandomForest,lag14,61.0,110.55,Baltimore
4,4,RandomForest,lag14,73.0,100.05,Baltimore
4,5,RandomForest,lag14,71.0,74.49,Baltimore
4,6,RandomForest,lag14,69.0,82.44,Baltimore
4,7,RandomForest,lag14,77.0,105.15,Baltimore
4,1,XGBoost,lag14,128.0,136.53750610351562,Baltimore
4,2,XGBoost,lag14,95.0,175.48641967773438,Baltimore
4,3,XGBoost,lag14,61.0,85.3223648071289,Baltimore
4,4,XGBoost,lag14,73.0,127.15660095214844,Baltimore
4,5,XGBoost,lag14,71.0,54.99020004272461,Baltimore
4,6,XGBoost,lag14,69.0,76.90703582763672,Baltimore
4,7,XGBoost,lag14,77.0,104.85902404785156,Baltimore
5,1,SeasonalNaive7,-,95.0,467.0,Baltimore
5,2,SeasonalNaive7,-,61.0,441.0,Baltimore
5,3,SeasonalNaive7,-,73.0,57.0,Baltimore
5,4,SeasonalNaive7,-,71.0,75.0,Baltimore
5,5,SeasonalNaive7,-,69.0,63.0,Baltimore
5,6,SeasonalNaive7,-,77.0,80.0,Baltimore
5,7,SeasonalNaive7,-,118.0,128.0,Baltimore
5,1,ETS_HoltWinters,-,95.0,85.94802916801186,Baltimore
5,2,ETS_HoltWinters,-,61.0,37.510949873815775,Baltimore
5,3,ETS_HoltWinters,-,73.0,-4.261563643280802,Baltimore
5,4,ETS_HoltWinters,-,71.0,7.878027428196134,Baltimore
5,5,ETS_HoltWinters,-,69.0,15.301942620603647,Baltimore
5,6,ETS_HoltWinters,-,77.0,52.56425193481865,Baltimore
