Store,Method,LagSet,Horizon,Splits,MAE,RMSE,NMAE,R2,Improvement_vs_SeasonalNaive7_pct
Richmond,XGBoost,lag14,6,12,11.041,11.041,0.224,-0.5211,-198.667
Richmond,XGBoost,lag7,6,12,11.329,11.329,0.226,-1.238,-201.333
Richmond,ARIMA,-,6,12,32.807,32.807,0.713,-7.4865,-850.667
Richmond,SeasonalNaive7,-,7,12,3.5,3.5,0.068,0.8506,0.0
Richmond,ETS_HoltWinters,-,7,12,4.847,4.847,0.112,-1.228,-64.706
Richmond,XGBoost,lag14,7,12,8.803,8.803,0.138,0.229,-102.941
Richmond,RandomForest,lag7,7,12,7.555,7.555,0.184,-0.6279,-170.588
Richmond,RandomForest,lag14,7,12,11.065,11.065,0.199,-0.0009,-192.647
Richmond,XGBoost,lag7,7,12,10.492,10.492,0.202,-2.1996,-197.059
Richmond,ARIMA,-,7,12,32.525,32.525,0.693,-3.7711,-919.118
