Objective,Method,Store,Date,Horizon,Pred_Customers,PR,X,J,Assisted_X,Assisted_J,Units_X,Units_J,Units_Total,Sales_X,Sales_J,HR_Cost_X,HR_Cost_J,Daily_Profit,Daily_HR_Total,IsWeekend
O2,GENETIC_ALGORITHM,Lancaster,2014-06-17,3,84,0.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O2,GENETIC_ALGORITHM,Lancaster,2014-06-18,4,81,0.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O2,GENETIC_ALGORITHM,Lancaster,2014-06-19,5,90,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O2,GENETIC_ALGORITHM,Lancaster,2014-06-20,6,130,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O2,GENETIC_ALGORITHM,Lancaster,2014-06-21,7,144,0.26,0,0,0,0,0,0,0,0,0,0,0,0,0,1
O2,GENETIC_ALGORITHM,Philadelphia,2014-06-15,1,223,0.26,0,0,0,0,0,0,0,0,0,0,0,0,0,1
O2,GENETIC_ALGORITHM,Philadelphia,2014-06-16,2,149,0.01,0,21,0,126,0,2016,2016,0,2136,0,1260,876,21,0
O2,GENETIC_ALGORITHM,Philadelphia,2014-06-17,3,157,0.01,0,10,0,60,0,960,960,0,1017,0,600,417,10,0
O2,GENETIC_ALGORITHM,Philadelphia,2014-06-18,4,165,0.02,0,1,0,6,0,96,96,0,101,0,60,41,1,0
O2,GENETIC_ALGORITHM,Philadelphia,2014-06-19,5,175,0.0,0,29,0,174,0,2784,2784,0,2979,0,1740,1239,29,0
O2,GENETIC_ALGORITHM,Philadelphia,2014-06-20,6,232,0.01,0,24,0,144,0,2304,2304,0,2441,0,1440,1001,24,0
O2,GENETIC_ALGORITHM,Philadelphia,2014-06-21,7,314,0.21,0,0,0,0,0,0,0,0,0,0,0,0,0,1
O2,GENETIC_ALGORITHM,Richmond,2014-06-15,1,64,0.29,0,0,0,0,0,0,0,0,0,0,0,0,0,1
O2,GENETIC_ALGORITHM,Richmond,2014-06-16,2,39,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O2,GENETIC_ALGORITHM,Richmond,2014-06-17,3,41,0.03,0,4,0,24,0,408,408,0,423,0,240,183,4,0
O2,GENETIC_ALGORITHM,Richmond,2014-06-18,4,43,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O2,GENETIC_ALGORITHM,Richmond,2014-06-19,5,46,0.02,0,5,0,30,0,510,510,0,535,0,300,235,5,0
O2,GENETIC_ALGORITHM,Richmond,2014-06-20,6,55,0.0,0,9,0,54,0,918,918,0,982,0,540,442,9,0
O2,GENETIC_ALGORITHM,Richmond,2014-06-21,7,81,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,1
O3_PARETO,NSGA_II,Baltimore,2014-06-15,1,97,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
O3_PARETO,NSGA_II,Baltimore,2014-06-16,2,61,0.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O3_PARETO,NSGA_II,Baltimore,2014-06-17,3,65,0.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O3_PARETO,NSGA_II,Baltimore,2014-06-18,4,71,0.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O3_PARETO,NSGA_II,Baltimore,2014-06-19,5,65,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O3_PARETO,NSGA_II,Baltimore,2014-06-20,6,89,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O3_PARETO,NSGA_II,Baltimore,2014-06-21,7,125,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,1
O3_PARETO,NSGA_II,Lancaster,2014-06-15,1,131,0.19,0,0,0,0,0,0,0,0,0,0,0,0,0,1
O3_PARETO,NSGA_II,Lancaster,2014-06-16,2,69,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O3_PARETO,NSGA_II,Lancaster,2014-06-17,3,84,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O3_PARETO,NSGA_II,Lancaster,2014-06-18,4,81,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O3_PARETO,NSGA_II,Lancaster,2014-06-19,5,90,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O3_PARETO,NSGA_II,Lancaster,2014-06-20,6,130,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O3_PARETO,NSGA_II,Lancaster,2014-06-21,7,144,0.18,0,0,0,0,0,0,0,0,0,0,0,0,0,1
O3_PARETO,NSGA_II,Philadelphia,2014-06-15,1,223,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,1
O3_PARETO,NSGA_II,Philadelphia,2014-06-16,2,149,0.0,0,24,0,144,0,2304,2304,0,2465,0,1440,1025,24,0
O3_PARETO,NSGA_II,Philadelphia,2014-06-17,3,157,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O3_PARETO,NSGA_II,Philadelphia,2014-06-18,4,165,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O3_PARETO,NSGA_II,Philadelphia,2014-06-19,5,175,0.0,0,14,0,84,0,1344,1344,0,1438,0,840,598,14,0
O3_PARETO,NSGA_II,Philadelphia,2014-06-20,6,232,0.01,0,37,0,222,0,3552,3552,0,3763,0,2220,1543,37,0
O3_PARETO,NSGA_II,Philadelphia,2014-06-21,7,314,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,1
O3_PARETO,NSGA_II,Richmond,2014-06-15,1,64,0.23,0,0,0,0,0,0,0,0,0,0,0,0,0,1
O3_PARETO,NSGA_II,Richmond,2014-06-16,2,39,0.02,0,5,0,30,0,510,510,0,535,0,300,235,5,0
O3_PARETO,NSGA_II,Richmond,2014-06-17,3,41,0.04,3,3,21,18,399,306,705,410,314,240,180,304,6,0
O3_PARETO,NSGA_II,Richmond,2014-06-18,4,43,0.02,0,7,0,42,0,714,714,0,749,0,420,329,7,0
O3_PARETO,NSGA_II,Richmond,2014-06-19,5,46,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O3_PARETO,NSGA_II,Richmond,2014-06-20,6,55,0.01,6,1,42,6,756,102,858,801,108,480,60,369,7,0
O3_PARETO,NSGA_II,Richmond,2014-06-21,7,81,0.24,0,0,0,0,0,0,0,0,0,0,0,0,0,1
O3_WEIGHTED,GENETIC_ALGORITHM,Baltimore,2014-06-15,1,97,0.11,0,0,0,0,0,0,0,0,0,0,0,0,0,1
O3_WEIGHTED,GENETIC_ALGORITHM,Baltimore,2014-06-16,2,61,0.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O3_WEIGHTED,GENETIC_ALGORITHM,Baltimore,2014-06-17,3,65,0.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O3_WEIGHTED,GENETIC_ALGORITHM,Baltimore,2014-06-18,4,71,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O3_WEIGHTED,GENETIC_ALGORITHM,Baltimore,2014-06-19,5,65,0.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O3_WEIGHTED,GENETIC_ALGORITHM,Baltimore,2014-06-20,6,89,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O3_WEIGHTED,GENETIC_ALGORITHM,Baltimore,2014-06-21,7,125,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,1
O3_WEIGHTED,GENETIC_ALGORITHM,Lancaster,2014-06-15,1,131,0.23,0,0,0,0,0,0,0,0,0,0,0,0,0,1
O3_WEIGHTED,GENETIC_ALGORITHM,Lancaster,2014-06-16,2,69,0.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O3_WEIGHTED,GENETIC_ALGORITHM,Lancaster,2014-06-17,3,84,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O3_WEIGHTED,GENETIC_ALGORITHM,Lancaster,2014-06-18,4,81,0.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O3_WEIGHTED,GENETIC_ALGORITHM,Lancaster,2014-06-19,5,90,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O3_WEIGHTED,GENETIC_ALGORITHM,Lancaster,2014-06-20,6,130,0.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O3_WEIGHTED,GENETIC_ALGORITHM,Lancaster,2014-06-21,7,144,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,1
