Objective,Method,Store,Date,Horizon,Pred_Customers,PR,X,J,Assisted_X,Assisted_J,Units_X,Units_J,Units_Total,Sales_X,Sales_J,HR_Cost_X,HR_Cost_J,Daily_Profit,Daily_HR_Total,IsWeekend
O1,SIMULATED_ANNEALING,Lancaster,2014-06-21,7,144,0.05,14,7,98,42,1764,672,2436,1793,683,1330,490,656,21,1
O1,SIMULATED_ANNEALING,Philadelphia,2014-06-15,1,223,0.06,4,33,28,195,476,3315,3791,479,3334,380,2310,1123,37,1
O1,SIMULATED_ANNEALING,Philadelphia,2014-06-16,2,149,0.07,8,15,56,90,952,1530,2482,947,1523,640,900,930,23,0
O1,SIMULATED_ANNEALING,Philadelphia,2014-06-17,3,157,0.06,14,10,98,59,1666,1003,2669,1676,1009,1120,600,965,24,0
O1,SIMULATED_ANNEALING,Philadelphia,2014-06-18,4,165,0.14,18,8,126,39,2394,702,3096,2203,646,1440,480,929,26,0
O1,SIMULATED_ANNEALING,Philadelphia,2014-06-19,5,175,0.0,21,5,147,28,2499,448,2947,2674,479,1680,300,1173,26,0
O1,SIMULATED_ANNEALING,Philadelphia,2014-06-20,6,232,0.08,4,34,28,204,504,3468,3972,496,3414,320,2040,1550,38,0
O1,SIMULATED_ANNEALING,Philadelphia,2014-06-21,7,314,0.06,22,23,154,138,2618,2346,4964,2633,2360,2090,1610,1293,45,1
O1,SIMULATED_ANNEALING,Richmond,2014-06-15,1,64,0.05,5,5,35,29,665,493,1158,676,501,475,350,352,10,1
O1,SIMULATED_ANNEALING,Richmond,2014-06-16,2,39,0.05,4,2,28,11,532,187,719,541,190,320,120,291,6,0
O1,SIMULATED_ANNEALING,Richmond,2014-06-17,3,41,0.09,1,6,7,34,133,612,745,130,596,80,360,286,7,0
O1,SIMULATED_ANNEALING,Richmond,2014-06-18,4,43,0.14,2,5,14,29,280,551,831,258,507,160,300,305,7,0
O1,SIMULATED_ANNEALING,Richmond,2014-06-19,5,46,0.22,4,3,28,18,616,360,976,514,300,320,180,314,7,0
O1,SIMULATED_ANNEALING,Richmond,2014-06-20,6,55,0.01,6,2,42,12,756,204,960,801,216,480,120,417,8,0
O1,SIMULATED_ANNEALING,Richmond,2014-06-21,7,81,0.01,2,11,14,66,252,1122,1374,267,1189,190,770,496,13,1
O2,HILL_CLIMBING,Baltimore,2014-06-15,1,97,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,1
O2,HILL_CLIMBING,Baltimore,2014-06-16,2,61,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O2,HILL_CLIMBING,Baltimore,2014-06-17,3,65,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O2,HILL_CLIMBING,Baltimore,2014-06-18,4,71,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O2,HILL_CLIMBING,Baltimore,2014-06-19,5,65,0.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O2,HILL_CLIMBING,Baltimore,2014-06-20,6,89,0.01,0,5,0,30,0,450,450,0,477,0,300,177,5,0
O2,HILL_CLIMBING,Baltimore,2014-06-21,7,125,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,1
O2,HILL_CLIMBING,Lancaster,2014-06-15,1,131,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,1
O2,HILL_CLIMBING,Lancaster,2014-06-16,2,69,0.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O2,HILL_CLIMBING,Lancaster,2014-06-17,3,84,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O2,HILL_CLIMBING,Lancaster,2014-06-18,4,81,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
