Split,Horizon,Method,LagSet,y_true,y_pred,Store
4,4,ARIMAX,-,73.0,57.0,Baltimore
4,5,ARIMAX,-,71.0,75.0,Baltimore
4,6,ARIMAX,-,69.0,63.0,Baltimore
4,7,ARIMAX,-,77.0,80.0,Baltimore
4,1,VAR,-,128.0,89.6754530762293,Baltimore
4,2,VAR,-,95.0,150.75813664421213,Baltimore
4,3,VAR,-,61.0,167.57457219763683,Baltimore
4,4,VAR,-,73.0,146.87924431481855,Baltimore
4,5,VAR,-,71.0,108.48185061249686,Baltimore
4,6,VAR,-,69.0,84.0693018063391,Baltimore
4,7,VAR,-,77.0,99.64533411910446,Baltimore
4,1,RandomForest_MV,mv_lag7,128.0,136.03,Baltimore
4,2,RandomForest_MV,mv_lag7,95.0,102.61,Baltimore
4,3,RandomForest_MV,mv_lag7,61.0,96.61,Baltimore
4,4,RandomForest_MV,mv_lag7,73.0,60.08,Baltimore
4,5,RandomForest_MV,mv_lag7,71.0,66.29,Baltimore
4,6,RandomForest_MV,mv_lag7,69.0,72.48,Baltimore
4,7,RandomForest_MV,mv_lag7,77.0,97.06,Baltimore
4,1,XGBoost_MV,mv_lag7,128.0,134.95726013183594,Baltimore
4,2,XGBoost_MV,mv_lag7,95.0,81.74370574951172,Baltimore
4,3,XGBoost_MV,mv_lag7,61.0,104.79122924804688,Baltimore
4,4,XGBoost_MV,mv_lag7,73.0,55.52665710449219,Baltimore
4,5,XGBoost_MV,mv_lag7,71.0,61.057918548583984,Baltimore
4,6,XGBoost_MV,mv_lag7,69.0,69.99495697021484,Baltimore
4,7,XGBoost_MV,mv_lag7,77.0,100.9651107788086,Baltimore
4,1,LinearReg_MV,mv_lag7,128.0,133.52561460264005,Baltimore
4,2,LinearReg_MV,mv_lag7,95.0,117.8259459652564,Baltimore
4,3,LinearReg_MV,mv_lag7,61.0,129.74237717319033,Baltimore
4,4,LinearReg_MV,mv_lag7,73.0,65.04204340106462,Baltimore
4,5,LinearReg_MV,mv_lag7,71.0,91.23747964905519,Baltimore
4,6,LinearReg_MV,mv_lag7,69.0,103.74927575643937,Baltimore
4,7,LinearReg_MV,mv_lag7,77.0,134.66616061297987,Baltimore
4,1,RandomForest_MV,mv_lag14,128.0,135.04,Baltimore
4,2,RandomForest_MV,mv_lag14,95.0,106.65,Baltimore
4,3,RandomForest_MV,mv_lag14,61.0,84.22,Baltimore
4,4,RandomForest_MV,mv_lag14,73.0,60.83,Baltimore
4,5,RandomForest_MV,mv_lag14,71.0,66.97,Baltimore
4,6,RandomForest_MV,mv_lag14,69.0,69.49,Baltimore
4,7,RandomForest_MV,mv_lag14,77.0,95.52,Baltimore
4,1,XGBoost_MV,mv_lag14,128.0,133.86392211914062,Baltimore
4,2,XGBoost_MV,mv_lag14,95.0,117.11224365234375,Baltimore
4,3,XGBoost_MV,mv_lag14,61.0,90.37450408935547,Baltimore
4,4,XGBoost_MV,mv_lag14,73.0,55.499244689941406,Baltimore
4,5,XGBoost_MV,mv_lag14,71.0,65.98390197753906,Baltimore
4,6,XGBoost_MV,mv_lag14,69.0,65.78551483154297,Baltimore
4,7,XGBoost_MV,mv_lag14,77.0,94.10196685791016,Baltimore
4,1,LinearReg_MV,mv_lag14,128.0,133.40873194096503,Baltimore
4,2,LinearReg_MV,mv_lag14,95.0,115.85004885658071,Baltimore
4,3,LinearReg_MV,mv_lag14,61.0,121.34493205694649,Baltimore
4,4,LinearReg_MV,mv_lag14,73.0,57.833630808275004,Baltimore
4,5,LinearReg_MV,mv_lag14,71.0,91.7803687654033,Baltimore
4,6,LinearReg_MV,mv_lag14,69.0,92.48748616824534,Baltimore
4,7,LinearReg_MV,mv_lag14,77.0,130.95625979156105,Baltimore
5,1,ARIMAX,-,95.0,467.0,Baltimore
5,2,ARIMAX,-,61.0,441.0,Baltimore
5,3,ARIMAX,-,73.0,57.0,Baltimore
5,4,ARIMAX,-,71.0,75.0,Baltimore
5,5,ARIMAX,-,69.0,63.0,Baltimore
5,6,ARIMAX,-,77.0,80.0,Baltimore
5,7,ARIMAX,-,118.0,128.0,Baltimore
5,1,VAR,-,95.0,166.76090674486514,Baltimore
5,2,VAR,-,61.0,177.25469067376997,Baltimore
5,3,VAR,-,73.0,145.21701481576895,Baltimore
5,4,VAR,-,71.0,105.381828993162,Baltimore
5,5,VAR,-,69.0,80.20122037417224,Baltimore
5,6,VAR,-,77.0,93.43905239734323,Baltimore
5,7,VAR,-,118.0,110.08546214479966,Baltimore
5,1,RandomForest_MV,mv_lag7,95.0,100.89,Baltimore
5,2,RandomForest_MV,mv_lag7,61.0,98.09,Baltimore
5,3,RandomForest_MV,mv_lag7,73.0,59.71,Baltimore
5,4,RandomForest_MV,mv_lag7,71.0,65.16,Baltimore
